P5,row_count,qty_sum_dashboard,qty_max_single_row,qty_first_single_row,?????,????
P7004,1,39647.0,39647.0,39647.0,BS0036,알루미늄리드지 (PIA 1Day)_유광 코팅
P0240,40,39249.0,7497.0,105.0,BS0103,알루미늄리드지 (이태리 soleko US 58% 1day)_유광 코
P1131,30,37674.0,7770.0,7770.0,BS0193,알루미늄리드지 (태국 MG Medical Group SISSE ONE DA
P1000,21,37106.0,15008.0,0.0,BS0115,알루미늄리드지 (무지-백색_PET12/AL30/CPP100_White
P0038,16,36333.0,5347.0,467.0,BS0054,알루미늄리드지 (국내/중국 원데이_아이리스)_무광 코
P5414,25,35309.0,1591.0,621.0,BS0228,알루미늄리드지 (Clalen O2O2 1Day Toric_Clear)_유광
P1044,8,34807.0,24521.0,24521.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0514,6,34749.0,30432.0,30432.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0596,12,34419.0,8645.0,161.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0230,14,31380.0,3642.0,1585.0,BS0050,알루미늄리드지 (Iris_수지그레이)_무광 코팅
P1256,31,30043.0,2285.0,1305.0,BS0039,알루미늄리드지 (신시아 2week UV)_유광 코팅
P0214,18,29330.0,3906.0,933.0,BS0054,알루미늄리드지 (국내/중국 원데이_아이리스)_무광 코
P5248,1,27002.0,27002.0,27002.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P5351,11,26388.0,7650.0,0.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0252,1,25106.0,25106.0,25106.0,BS0242,알루미늄리드지 (PIA_1D 55% Melloew 리드지)
P0039,11,24540.0,3890.0,280.0,BS0054,알루미늄리드지 (국내/중국 원데이_아이리스)_무광 코
P3128,9,24457.0,15954.0,15954.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P3094,18,23826.0,3916.0,373.0,BS0054,알루미늄리드지 (국내/중국 원데이_아이리스)_무광 코
P7018,13,23457.0,10429.0,10429.0,BS0145,알루미늄리드지 (일본 PIA 1day 38% mimuco)_유광 코
P1087,12,22433.0,13053.0,1544.0,BS0248,알루미늄리드지 (일본 T-garden_1D 55% Cheritta)_유
P1121,198,21763.0,457.0,4.0,BS0115,알루미늄리드지 (무지-백색_PET12/AL30/CPP100_White
P0593,1,20149.0,20149.0,20149.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P1043,3,20000.0,19124.0,19124.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
